ResponseID,age,city,cityother,enroll,white,black,latine,asian,multi,me,other,pna,malebin,femalebin,naf,yearsindc,university,universityother,drive,alcohol,cannabis5,cannabis9,sim,rx,text,speed,drowsy,seatbelt,rider_alcohol,rider_cannabis5,rider_cannabis9,rider_sim,rider_rx,rider_text,rider_speed,rider_drowsy,rider_seatbelt,DD,rideshare,walk,stayover,publictransit,bikes,other_altopt,dangeralc,dangercann5,dangercann9,dangersim,dangerrx,dangertext,dangerspeed,dangerdrowsy,dangerseatbelt,legalalc,legalcann5,legalcann9,legalsim,legalrx,legaltext,legalspeed,legaldrowsy,legalseatbelt,normsalc,normscann5,normscann9,normssim,normsrx,normstext,normsspeed,normsdrowsy,normsbelt,drivertrain,drivertrain_other,driveincome,negativedrive,negativedrive_text,metrobus,nometrobus_text,metrorail,nometrorail_text,negativemetro,negativemetro_text,ridingactivity,ridingact_text,skate,skatehelmet,electricskate,skatedestination,funskate,cityskate,skatepark,sundownskate,friendskate,skatealc,skatecann5,skatecann9,skatesim,bike,bikehelmet,electricbike,bikedestination,funbike,citybike,bikepark,sundownbike,friendbike,bikealc,bikecann5,bikecann9,bikesim,scoot,scoothelmet,escoot,scootdestination,funscoot,cityscoot,scootpark,sundownscoot,friendscoot,scootalc,scootcann5,scootcann9,scootsim,negativeriding,negativeriding_text,metrobus_cost,metrobus_safety,metrobus_hours,metrobus_confusing,metrobus_inconvenient,metrobus_faster,metrobus_station,metrobus_other,metrobus_none,metrobus_pna,metrorail_cost,metrorail_safety,metrorail_hours,metrorail_confusing,metrorail_inconvenient,metrorail_faster,metrorail_station,metrorail_other,metrorail_none,metrorail_pna
R_26aunfgQB8476Ha,20,Maryland,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,University of Maryland College Park,,No,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Twice,Never,More than twice,Never,Never,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat likely,Very likely,Very likely,Somewhat likely,Unsure,Somewhat likely,Very likely,Unsure,Somewhat likely,Twice,Once,Never,Once,More than twice,More than twice,Twice,Once,More than twice,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,No,,Yes,,No,,Bicycling (street and BMX),,,,,,,,,,,,,,,5,All,None,A Few,A Few,None,None,None,None,Never,Never,Never,Never,,,,,,,,,,,,,,No,,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
R_yCl7jIRyNGAWYtH,19,Virginia,,No,0,0,1,0,0,0,0,0,0,1,0,More than 5 years,,,No,,,,,,,,,,Never,Never,Never,Never,Once,More than twice,More than twice,Once,Never,More than twice,Never,Once,Never,Never,Never,Never,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat safe,Somewhat dangerous,Very dangerous,Very likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Very likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Once,More than twice,More than twice,More than twice,More than twice,More than twice,Twice,Twice,More than twice,Prefer not to answer,,No,No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
R_3kLYegWrxHDvztN,24,District of Columbia,,No,1,0,0,0,0,0,0,0,0,1,0,3–5 years,,,Yes,Never,Never,Never,Never,Never,Once,Never,Never,Never,Once,Never,Never,Never,Never,Twice,Never,Never,Never,Never,More than twice,More than twice,Never,More than twice,Never,Never,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Once,Once,Once,Once,More than twice,Once,More than twice,Once,In person,,No,No,,No,,No,,Yes,A homeless man was threatening people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
R_TaV1gl8lTUdnNHb,23,Virginia,,No,0,1,0,0,0,0,0,0,1,0,0,1–3 years,,,Yes,Twice,Once,Never,Never,Never,More than twice,Never,Twice,Once,Once,Never,Never,Once,Never,Once,Never,Twice,Once,Once,Once,Once,Once,Once,Once,Once,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,In person,,No,No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
R_332VoyAZ9EUtx9K,20,District of Columbia,,No,0,1,0,0,0,0,0,0,1,0,0,3–5 years,,,Yes,Twice,Once,More than twice,Twice,Once,Once,More than twice,Twice,More than twice,More than twice,Twice,Once,More than twice,Twice,Twice,Once,More than twice,Twice,Twice,Once,More than twice,Twice,More than twice,Once,Twice,Somewhat safe,Unsure,Very safe,Somewhat safe,Very safe,Very safe,Unsure,Somewhat safe,Unsure,Somewhat likely,Unsure,Very likely,Somewhat likely,Somewhat likely,Unsure,Very likely,Somewhat likely,Unsure,Twice,More than twice,Once,Twice,Twice,More than twice,Once,Twice,More than twice,In person,,"Yes, for delivery (e.g., Amazon Flex, DoorDash, Instacart)",No,,Yes,,Yes,,No,,"Skateboarding/Longboarding,Scootering",,3,Half,All,Half,A Few,All,Half,Half,All,More than twice,Twice,Once,More than twice,,,,,,,,,,,,,,2,All,Half,A Few,All,Half,Half,All,A Few,Twice,Once,More than twice,Twice,No,,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
R_2YobUSMrVEePkJz,22,Maryland,,Yes,0,1,1,0,0,0,0,0,0,1,0,Less than 6 months,University of the District of Columbia,,Yes,Twice,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never,Never,Never,Never,Never,Never,In person,,No,No,,No,,Yes,,No,,Horseback riding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R_1QbVh4hJMSFjWwO,24,Virginia,,No,0,0,0,1,0,0,0,0,1,0,0,More than 5 years,,,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,Never,Never,Never,Never,Very dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Never,Never,Never,Never,Never,Never,Never,Never,Never,In person,,No,No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R_2uKeecu6MTVj57M,23,Virginia,,No,0,0,0,0,0,0,0,0,0,1,1,More than 5 years,,,Yes,Never,Never,Never,Never,Once,More than twice,More than twice,More than twice,Once,Never,Never,Never,Never,Never,Once,More than twice,More than twice,Never,Never,Never,Never,Never,Never,Never,Once,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat safe,Unsure,Somewhat dangerous,Very likely,Unsure,Very unlikely,Unsure,Unsure,Somewhat unlikely,Somewhat unlikely,Very unlikely,Unsure,Once,More than twice,More than twice,Once,Twice,More than twice,More than twice,More than twice,More than twice,I didn't complete a driver training course prior to receiving my driver's license,,No,Yes,"A car swerving off the road, and ended up spinning in the middle causing everyone to stop ",No,,No,Safer options,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0
R_yBxSKHIqjx0um2d,24,District of Columbia,,Yes,0,0,1,0,0,0,0,0,0,1,0,More than 5 years,George Washington University,,No,,,,,,,,,,Never,Twice,Once,Never,Once,Once,Never,Never,Never,Never,More than twice,Twice,Once,Twice,More than twice,Never,Somewhat dangerous,Very dangerous,Somewhat safe,Prefer not to answer,Unsure,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Very likely,Very likely,Somewhat likely,Very likely,Somewhat likely,Very likely,Somewhat likely,Unsure,Very likely,Once,More than twice,Once,More than twice,Twice,Once,More than twice,Prefer not to answer,Twice,I didn't complete a driver training course prior to receiving my driver's license,,No,No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
R_WjPzA6B5tmPKT3X,23,District of Columbia,,Yes,1,0,0,0,1,0,1,0,0,1,0,1–3 years,Gallaudet University,,No,,,,,,,,,,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,More than twice,More than twice,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Very dangerous,Very dangerous,Unsure,Very dangerous,Very dangerous,Very dangerous,Somewhat safe,Somewhat dangerous,Very dangerous,Unsure,Unsure,Very unlikely,Unsure,Unsure,Somewhat unlikely,Somewhat likely,Very unlikely,Somewhat unlikely,Once,Once,More than twice,Never,Never,More than twice,More than twice,More than twice,Twice,Prefer not to answer,,No,No,,Yes,,Yes,,Yes,A man was leaning over the edge as if he were about to commit suicide and I almost grabbed him and he stepped away when the train came fortunately.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
